micro	a_ms_best	a_ms_median	b_ms_best	b_ms_median	change_pct
m_ary_copy	101.520	103.975	101.061	102.706	-0.5
m_ary_dup	37.169	37.931	36.619	37.513	-1.5
m_ary_ends	46.420	46.988	46.251	46.904	-0.4
m_ary_read	87.428	88.326	86.199	87.881	-1.4
m_ary_set	274.748	279.201	271.545	275.187	-1.2
m_ary_walk	1818.802	1822.509	1766.830	1778.588	-2.9
m_loop_only	7.337	7.400	7.191	7.270	-2.0
