micro	a_ms_best	a_ms_median	b_ms_best	b_ms_median	change_pct
m_ary_copy	104.269	104.940	106.355	107.783	+2.0
m_ary_ends	114.194	114.797	46.655	47.047	-59.1
m_ary_read	181.128	183.719	86.131	87.575	-52.4
m_ary_set	272.511	274.477	280.039	280.869	+2.8
m_ary_walk	1807.566	1820.248	1820.042	1844.698	+0.7
m_loop_only	7.218	7.409	7.380	7.628	+2.2
